lat,lon,tas_anomaly,year,scenario
-6.9718313,283.75,1.492,2030,ssp245
-6.9718313,293.75,1.695,2030,ssp245
-6.9718313,303.75,1.721,2030,ssp245
-6.9718313,313.75,1.539,2030,ssp245
-6.9718313,323.75,1.162,2030,ssp245
-6.9718313,333.75,1.168,2030,ssp245
-6.9718313,343.75,1.272,2030,ssp245
-6.9718313,353.75,1.518,2030,ssp245
-1.9014084,3.75,1.579,2030,ssp245
-1.9014084,13.75,1.604,2030,ssp245
-1.9014084,23.75,1.914,2030,ssp245
-1.9014084,33.75,1.526,2030,ssp245
-1.9014084,43.75,1.288,2030,ssp245
-1.9014084,53.75,1.304,2030,ssp245
-1.9014084,63.75,1.411,2030,ssp245
-1.9014084,73.75,1.386,2030,ssp245
-1.9014084,83.75,1.346,2030,ssp245
-1.9014084,93.75,1.275,2030,ssp245
-1.9014084,103.75,1.351,2030,ssp245
-1.9014084,113.75,1.354,2030,ssp245
-1.9014084,123.75,1.414,2030,ssp245
-1.9014084,133.75,1.337,2030,ssp245
-1.9014084,143.75,1.148,2030,ssp245
-1.9014084,153.75,0.973,2030,ssp245
